word,count
dress,208
happened,207
doctor,207
o,206
eye,206
need,206
clear,206
war,204
attention,203
power,201
drawing,200
meant,200
silence,200
starbuck,199
view,199
beginning,199
rose,199
bad,198
chair,198
opinion,198
able,198
smiled,197
opened,197
loved,197
law,197
lips,197
ten,197
minutes,195
until,195
mine,194
wickham,194
cause,192
struck,192
thank,191
form,191
prince,191
deal,190
steps,189
account,189
forward,188
sleep,187
bear,187
easy,187
free,187
merely,187
sweet,187
comes,186
held,186
except,185
ago,184
speaking,184
run,184
hours,184
meaning,183
become,183
big,182
collins,180
straight,180
blue,179
bring,179
english,178
walk,178
waiting,178
pequod,178
deep,178
besides,177
quickly,177
self,177
pleasant,177
drew,176
twenty,176
countess,176
object,176
wait,176
low,175
forth,175
truth,174
wonder,174
across,174
arms,174
peace,174
past,173
fresh,173
moscow,173
sorry,173
laugh,173
early,172
talked,171
lydia,171
st,170
wrong,170
further,170
watch,170
expected,170
character,170
public,170
wu,169
paper,169
spirit,169
states,169
whatever,168
aye,168
figure,167
isn,167
front,167
usual,167
wind,166
important,166
horses,166
trouble,166
fancy,166
wild,165
clock,165
chance,164
lord,164
following,164
horse,164
real,164
caught,164
art,163
settled,163
giving,162
makes,162
boats,162
perfectly,162
longer,162
silent,161
write,161
knowing,161
agreement,160
laid,160
wouldn,160
chief,160
broken,160
nearly,160
creature,159
entered,159
particularly,159
length,159
none,159
stopped,158
play,158
send,157
six,157
street,157
laughed,157
sudden,157
hundred,157
slowly,157
marriage,157
repeated,156
sisters,156
books,155
tea,155
force,155
varenka,155
thee,154
putting,154
forget,154
beside,154
yu,153
continued,153
duty,153
remained,153
beautiful,152
beauty,152
mouth,152
knows,152
afterwards,152
delight,152
fixed,152
neither,151
earth,151
human,151
lived,151
strength,151
desire,151
instead,150
french,149
running,149
stop,148
boys,148
led,148
common,148
meeting,148
despair,148
pass,148
written,148
heads,147
colonel,147
moved,147
carried,147
master,147
garden,146
sake,146
de,146
thy,146
study,146
purpose,146
picture,145
visit,145
surprise,145
begin,145
comfort,144
observed,144
cry,144
pleased,144
reached,144
quiet,143
secret,143
baby,143
step,143
spirits,143
crew,143
coat,143
leaving,143
gentlemen,142
letters,142
simple,142
satisfied,142
walking,142
bit,142
pride,141
heavy,141
agree,141
fair,141
joy,141
unless,141
laughing,141
knowledge,140
anxious,140
spent,140
single,140
corner,140
license,139
shook,139
glance,139
sit,139
ao,139
madame,139
glass,139
quick,139
middle,138
lovely,138
learned,138
doesn,138
months,138
appearance,138
entirely,138
reading,137
sviazhsky,137
couldn,137
hall,137
necessary,137
holding,137
tu,137
scene,137
changed,136
peasants,136
week,136
drive,136
respect,136
understood,136
united,136
copyright,136
covered,135
future,135
uncle,135
today,135
third,135
drove,135
relations,135
act,134
fast,134
handsome,134
beyond,134
grass,134
below,134
particular,133
finished,133
spring,133
whaling,133
fall,133
interesting,133
consider,132
attack,132
peculiar,132
listened,132
exactly,131
information,131
regard,131
directly,131
remembered,131
news,131
catherine,130
bound,130
horror,130
former,130
affection,130
arrived,130
top,130
pay,130
mast,130
wrote,130
ideas,130
legs,129
company,129
yesterday,129
dare,129
writing,129
london,129
worse,128
placed,128
wished,128
dropped,128
green,128
serious,127
proper,127
petersburg,127
hannah,127
greater,127
considered,127
hearing,126
learn,126
distance,126
glanced,126
box,126
imagine,126
goes,126
believed,125
angry,125
officers,125
lying,125
delighted,124
heaven,124
calm,124
paid,124
filled,124
showed,124
effect,124
utterly,124
allow,124
started,123
ball,123
forgive,123
bright,123
surprised,123
sick,122
peasant,122
die,122
miserable,122
completely,122
seryozha,122
various,122
number,122
satisfaction,122
literary,122
summer,122
pity,122
tail,122
copy,121
voyage,121
later,121
acquaintance,121
questions,121
splendid,121
ashamed,121
leg,121
fond,120
iron,120
donations,120
blood,120
resolved,120
looks,120
likely,119
lower,119
success,119
passage,118
busy,117
although,117
easily,117
c,117
awful,117
offer,117
aware,117
allowed,117
engaged,116
nurse,116
road,116
proud,115
queer,115
oblonsky,115
appear,115
promised,115
wide,115
altogether,115
died,114
terrible,114
neck,114
shut,113
importance,113
explain,113
f,113
laurence,113
quietly,113
wood,113
sail,113
start,113
pain,113
interested,112
ts,112
queen,112
konstantin,112
lidia,112
condition,112
notice,111
betsy,111
receive,111
flask,111
complete,111
music,111
promise,111
veslovsky,110
winter,110
broad,110
pray,110
special,110
instantly,109
plain,109
continually,109
soft,109
professor,109
foot,109
advantage,109
eight,109
someone,109
ivanovna,109
service,109
contrary,109
brooke,108
threw,108
excellent,108
dressed,108
blame,108
grew,108
decided,108
outside,108
rich,108
stranger,108
remain,108
ice,108
discovered,108
grown,108
hot,108
tall,107
gardiner,107
marry,107
journey,107
sharp,107
cross,107
effort,106
worth,106
haven,106
beneath,106
bottom,106
fight,106
honor,106
thin,106
carry,106
mu,106
snow,105
circumstances,105
shoulders,105
convinced,105
supper,105
warm,105
impression,105
train,105
sign,105
delightful,105
noticed,105
beg,105
archive,104
difficult,104
tender,104
noble,104
manners,104
asleep,104
whispered,104
unhappy,104
bent,104
forgotten,104
charming,103
keeping,103
papers,103
follow,103
curious,103
passing,103
carefully,103
charge,103
laws,102
presence,102
youth,102
city,102
nose,102
military,102
sherlock,102
reply,102
misery,102
oil,102
expressed,102
soldiers,102
battle,102
board,102
expect,102
grand,101
shouted,101
thirty,101
age,101
health,101
telling,101
tomorrow,101
church,101
greatest,100
dreadful,100
probably,100
tired,100
flowers,100
enjoy,100
fortune,100
ring,100
river,100
sky,100
drink,100
direction,100
boots,99
everybody,99
listen,99
floor,99
advice,99
scarcely,99
ordered,99
moving,99
countenance,99
rooms,99
thick,99
around,99
save,98
seven,98
memory,98
watching,98
game,98
temper,98
plan,98
ears,98
miles,98
ocean,98
broke,98
trademark,98
russian,98
glancing,98
ships,98
clothes,97
nantucket,97
vast,97
lizzy,97
yours,97
support,97
cook,97
degree,97
wedding,97
official,97
possessed,97
faces,97
vain,97
rapidly,97
race,96
nikolay,96
cabin,96
abroad,96
break,96
teeth,96
mentioned,96
evil,96
leviathan,96
latter,96
plans,96
express,95
eat,95
circle,95
parts,95
lines,95
finding,95
companion,95
apart,95
existence,95
previous,94
hopes,94
paragraph,94
bow,94
fingers,94
chang,94
pale,94
spot,94
weather,94
cousin,94
fashion,94
fun,94
drawn,94
mere,94
places,94
breakfast,93
danger,93
waters,93
seas,93
creatures,93
office,93
ho,93
nine,93
longed,93
courage,93
escape,93
according,93
touching,92
forgot,92
divorce,92
trees,92
mad,92
clearly,92
attempt,92
possibly,92
kung,92
matters,92
opposite,92
tree,92
ones,92
marked,92
lively,92
fancied,91
unable,91
asking,91
orders,91
points,91
frightened,91
difficulty,91
ebook,90
rushed,90
obliged,90
grow,90
seat,90
period,90
kissed,90
loving,90
school,90
count,90
ways,90
concerning,90
forehead,90
touched,90
moby,90
determined,90
draw,90
dick,90
excuse,89
pair,89
influence,89
pocket,89
perfect,89
hence,89
devil,89
agreeable,89
capital,89
william,88
forty,88
hate,88
post,88
eh,88
burst,88
formed,88
longbourn,88
hearts,88
excited,88
servant,88
lamp,88
loss,87
flew,87
mark,87
actually,87
occasion,87
cast,87
history,87
fit,87
listening,87
spoken,87
dance,87
opening,87
needed,87
speech,86
mate,86
forced,86
ourselves,86
jonah,86
pardon,86
finger,86
charlotte,86
passion,86
moments,86
lives,86
occurred,86
pointing,86
wishes,85
lead,85
generally,85
leaning,85
seldom,85
en,85
court,85
working,85
mary,85
obviously,85
daughters,85
sailor,85
maid,85
shot,85
takes,85
considerable,85
sorts,85
raised,85
yellow,85
familiar,85
u,85
p,84
remarked,84
org,84
eager,84
absolutely,84
bhaer,84
path,84
affair,84
ease,84
stone,84
waited,84
gold,84
german,84
drop,84
bird,84
sides,84
supposed,83
access,83
exclaimed,83
opportunity,83
ere,83
closed,83
including,83
possession,83
thrown,83
wants,83
faith,83
monster,83
station,83
curiosity,82
kindness,82
situation,82
shame,82
wasn,82
pip,82
enter,82
wise,82
begun,82
watson,82
produced,82
breath,82
plainly,82
lie,82
slight,82
stern,82
gained,81
touch,81
bread,81
refund,81
considering,81
harpooneer,81
li,81
associated,81
offered,81
main,81
shih,81
gives,81
bell,81
kindly,81
hurried,81
evidently,80
finally,80
precious,80
permission,80
piece,80
arrival,80
fate,80
innocent,80
storm,80
sentence,80
mistake,80
unknown,80
somewhat,80
suffering,80
shaking,80
alive,80
action,80
avoid,80
deeply,79
bye,79
darkness,79
rising,79
interrupted,79
watched,79
katavasov,79
nearer,79
younger,79
hurry,79
gentle,79
quarter,79
coffee,79
caused,79
flying,79
presently,79
fifty,78
energy,78
proved,78
sorrow,78
regular,78
fully,78
terror,78
style,78
leaves,78
friendly,78
fallen,78
hung,78
freely,78
dying,78
